Black Mirror,https://upload.wikimedia.org/wikipedia/en/2/24/BlackMirrorTitleCard.jpg,Charlie Brooker,4.4,44,2013/08/08,Science fiction,10,"Black Mirror is a British television anthology series created by Charlie Brooker that features speculative fiction with dark and sometimes satirical themes that examine modern society, particularly with regard to the unanticipated consequences of new technologies. The series is produced by Zeppotron for Endemol and was first broadcast on Channel 4 in 2011.
Regarding the programme's content and structure, Brooker noted, ""each episode has a different cast, a different setting, even a different reality. But they're all about the way we live now – and the way we might be living in 10 minutes' time if we're clumsy."" The series has received critical acclaim, and has seen an increase in interest internationally (particularly in the US) after being added to Netflix. Stephen King, in particular, has noted his interest in the series.
In September 2015, Netflix commissioned a third season of 12 episodes, which was later divided into two seasons of six episodes; the third season was released on Netflix worldwide on 21 October 2016."
The Great British Bake Off,https://upload.wikimedia.org/wikipedia/en/8/83/The_Great_British_Bake_Off_title.jpg,Charlie Brooker,7.6,34,2011/11/12,Baking,6,"The Great British Bake Off, often referred to as Bake Off or GBBO, is a BAFTA award-winning British television baking competition which selects from amongst its contestants the best amateur baker. The series is presented by Mel Giedroyc and Sue Perkins, and judged by cookery writer Mary Berry and professional baker Paul Hollywood."
Downton Abbey,https://upload.wikimedia.org/wikipedia/en/3/32/Downton_Abbey_Series_1.jpg,Julian Fellowes,9.3,40,2016/11/24,Historical period drama,9,"Downton Abbey is a British-American historical period drama television series created by Julian Fellowes and co-produced by Carnival Films and Masterpiece. It first aired on ITV in the United Kingdom on 26 September 2010, and on PBS in the United States on 9 January 2011 as part of the Masterpiece Classic anthology.
The series, set in the fictional Yorkshire country estate of Downton Abbey between 1912 and 1925, depicts the lives of the aristocratic Crawley family and their domestic servants in the post-Edwardian era—with the great events in history having an effect on their lives and on the British social hierarchy. Such events depicted throughout the series include news of the sinking of the RMS Titanic in the first series; the outbreak of the First World War, the Spanish influenza pandemic, and the Marconi scandal in the second series; the Irish War of Independence leading to the formation of the Irish Free State in the third series; the Teapot Dome scandal in the fourth series; and the British general election of 1923, the Jallianwala Bagh Massacre, and the Beer Hall Putsch in the fifth series. The final season introduces the rise of the working class during the interwar period and hints towards the eventual decline of the British aristocracy.
Downton Abbey has received acclaim from television critics and won numerous accolades, including a Golden Globe Award for Best Miniseries or Television Film and a Primetime Emmy Award for Outstanding Miniseries or Movie. It was recognised by Guinness World Records as the most critically acclaimed English-language television series of 2011. It earned the most nominations of any international television series in the history of the Primetime Emmy Awards, with twenty-seven in total (after two series)."
The Wire,https://upload.wikimedia.org/wikipedia/en/6/62/The_Wire.jpg,David Simon,5.2,48,2011/01/08,Crime drama,6,"The Wire is an American crime drama television series set and produced in and around Baltimore, Maryland. Created and primarily written by author and former police reporter David Simon, the series was broadcast by the cable network HBO in the United States. The Wire premiered on June 2, 2002, and ended on March 9, 2008, comprising 60 episodes over five seasons.
Each season of The Wire introduces a different institution in the city of Baltimore and its relationship to law enforcement, while retaining characters and advancing storylines from previous seasons. In chronological order these institutions are: the illegal drug trade, the seaport system, the city government and bureaucracy, the school system, and the print news media. The large cast consists mainly of actors who are little known for their other roles, as well as numerous real-life Baltimore and Maryland figures in guest and recurring roles. Simon has said that despite its framing as a crime drama, the show is ""really about the American city, and about how we live together. It's about how institutions have an effect on individuals."
The Inbetweeners,https://upload.wikimedia.org/wikipedia/en/c/c0/The_Inbetweeners_cast.png,Damon Beesley,7.7,37,2014/01/28,Sitcom,6,"The Inbetweeners is a British sitcom that originally aired on E4 from 2008 to 2010. Created and written by Damon Beesley and Iain Morris, the show followed the life of suburban teenager Will McKenzie (Simon Bird) and his three friends at the fictional Rudge Park Comprehensive. The episodes involved situations of school bullying, broken family life, indifferent school staff, male bonding, and largely failed sexual encounters.
Although it only aired for less than three years, the show was nominated for 'Best Situation Comedy' at BAFTA twice, in 2009 and 2010. At the British Academy Television Awards 2010, it won the Audience Award, and in 2010 the show won the Best Sitcom award at the British Comedy Awards. In the 2011 British Comedy Awards, the show also won the award for Outstanding Contribution to British Comedy. The Inbetweeners Movie was released on 17 August 2011 to box office success, and a sequel followed on 6 August 2014.
A U.S. version of The Inbetweeners aired on MTV for one season in 2012, but was cancelled due to low ratings."
Peaky Blinders ,https://upload.wikimedia.org/wikipedia/en/e/e8/Peaky_Blinders_titlecard.jpg,Steven Knight,8.1,48,2014/06/05,Historical fiction,7,"Peaky Blinders is a television crime drama based upon the exploits of the Peaky Blinders gang, operating in Birmingham, England during the aftermath of the First World War. The series was created by Steven Knight and produced by Caryn Mandabach Productions and Tiger Aspect Productions. The series centers around and stars Cillian Murphy as Tommy Shelby, the gang's leader, and Sam Neill as a commissioned detective tasked with the suppression of the gang.
The first series aired on BBC Two on 13 September 2013 and ran for six episodes. The second series premiered on 2 October 2014. The third series premiered on 5 May 2016.
On 26 May 2016, the BBC announced that they had ordered a fourth and fifth series of the show."
Better Call Saul,https://upload.wikimedia.org/wikipedia/en/9/95/Better_Call_Saul_logo.png,Vince Gilligan,8.6,39,2014/05/30,Crime drama,5,"Better Call Saul is an American television crime drama series created by Vince Gilligan and Peter Gould. It is a spin-off prequel of Breaking Bad, which was also created by Gilligan. Set in 2002, Better Call Saul follows the story of small-time lawyer James Morgan ""Jimmy"" McGill (Bob Odenkirk), six years before his appearance on Breaking Bad as Saul Goodman; events after the original series are briefly explored.
The first season, which premiered on AMC on February 8, 2015, consists of 10 episodes. The show's 10-episode second season premiered on February 15, 2016. On March 15, 2016, the series was renewed for a 10-episode third season.
Like its predecessor, Better Call Saul has received critical acclaim. It has garnered several nominations, including fourteen Primetime Emmy Awards, three Writers Guild of America Awards, two Critics' Choice Television Awards, a Screen Actors Guild Award and a Golden Globe Award."
Master of None,https://upload.wikimedia.org/wikipedia/commons/d/d3/Masters_of_None_Intertitle.png,Vince Gilligan,9.7,43,2013/12/18,Comedy-drama,9,"Master of None is an American comedy-drama web television series, which was released for streaming on November 6, 2015 on Netflix. The series was created by Aziz Ansari and Alan Yang, and stars Ansari in the lead role of Dev, a 30-year-old actor who attempts to make his way through life in New York City. The first season consists of 10 episodes. The show's title alludes to the figure of speech, ""Jack of all trades, master of none"" and was originally suggested by Ansari. The series later incorporated a song of the same name by Beach House. Ansari says it took months to come up with the show's title and he and Yang did not ultimately agree on it until all of the episodes were completed.
The show was renewed for a second season in February 2016, scheduled to premiere in 2017."
Orange Is the New Black,https://upload.wikimedia.org/wikipedia/commons/9/9c/Orange_is_the_new_Black.png,Jenji Kohan,7.5,31,2015/06/14,Comedy-drama,9,"Orange Is the New Black (sometimes abbreviated to OITNB) is an American comedy-drama web television series. The series, created by Jenji Kohan and produced by Tilted Productions in association with Lionsgate Television, is based on Piper Kerman's memoir, Orange Is the New Black: My Year in a Women's Prison (2010), about her experiences at FCI Danbury, a minimum-security federal prison. Orange Is the New Black is streamed on Netflix, and premiered on July 11, 2013. The series' fourth season was released on June 17, 2016. In February 2016, the series was renewed for a fifth, sixth, and seventh season.
Orange Is the New Black has become Netflix's most-watched original series. It has received critical acclaim and many accolades. For its first season, the series garnered 12 Primetime Emmy Award nominations, including Outstanding Comedy Series, Outstanding Writing for a Comedy Series, and Outstanding Directing for a Comedy Series, winning three."
Modern Family,https://upload.wikimedia.org/wikipedia/commons/7/77/Modern_Family_Title.svg,Jenji Kohan,7,33,2012/11/08,Comedy-drama,10,"Modern Family is an American television mockumentary that premiered on ABC on September 23, 2009, which follows the lives of Jay Pritchett and his family, all of whom live in suburban Los Angeles. Pritchett's family includes his second wife, his stepson, as well as his two adult children and their spouses and children. Christopher Lloyd and Steven Levitan conceived the series while sharing stories of their own ""modern families"". Modern Family employs an ensemble cast. The series is presented in mockumentary style, with the fictional characters frequently talking directly into the camera. The series premiered on September 23, 2009, and the eighth season premiered on September 21, 2016.
Modern Family was acclaimed by critics throughout its first season, although reception has become more mixed as the series has progressed. The show won the Emmy Award for Outstanding Comedy Series in each of its first five years and the Emmy Award for Outstanding Supporting Actor in a Comedy Series four times, twice for Eric Stonestreet and twice for Ty Burrell, as well as the Outstanding Supporting Actress in a Comedy Series twice for Julie Bowen."
The Good Wife,https://upload.wikimedia.org/wikipedia/commons/1/1c/The_Good_Wife_Logo.png,Robert King,8.7,44,2014/07/20,Legal drama,7,"The Good Wife is an American legal and political drama television series that aired on CBS from September 22, 2009 to May 8, 2016. The series focuses on Alicia Florrick, the wife of the Cook County State's Attorney, who returns to her career in law after the events of a public sex and political corruption scandal involving her husband. The series, created by Robert and Michelle King, stars Julianna Margulies, Josh Charles, Christine Baranski, Matt Czuchry, Archie Panjabi, and Alan Cumming, and features Chris Noth in a recurring role. The executive producers are Ridley Scott, Charles McDougall, and David W. Zucker. The Good Wife is a heavily serialized show featuring many story arcs that carry over several episodes, as well as stand-alone procedural storylines that are concluded by the end of each episode. The serial plots have been especially showcased in its highly praised fifth season. This is a rarity among The Good Wife's broadcaster CBS, as most of its shows are procedural.
The Good Wife won numerous prestigious awards, including five Emmys and the 2014 Television Critics Association Award for Outstanding Achievement in Drama."
Fresh Off the Boat,https://upload.wikimedia.org/wikipedia/en/1/11/Fresh_Off_the_Boat_intertitle.png,Nahnatchka Khan,5.9,50,2011/10/13,Sitcom,4,"Fresh Off the Boat is a American sitcom series starring Hudson Yang, Randall Park, and Constance Wu that is loosely inspired by the life of chef and food personality Eddie Huang and his book Fresh Off the Boat: A Memoir. It is the first American television sitcom starring an Asian-American family as protagonists to air on network primetime since Margaret Cho's All American Girl, which aired for one season in 1994. Its style has been compared to the comedy series Everybody Hates Chris. The flashback technique with voice-over narration from the present day (first season only) is similar to The Wonder Years.
The show debuted on ABC with two preview episodes on February 4, 2015. The second episode which aired after Modern Family was promoted as a bonus episode and formally premiered in its prime time slot on February 10, 2015. The first of the two preview episodes garnered 7.94 million viewers, becoming the second highest rated comedy premiere that season.
On May 7, 2015, ABC renewed Fresh off the Boat for a second season of 13 episodes."
Legends of Tomorrow,https://upload.wikimedia.org/wikipedia/en/2/2f/Legends_of_Tomorrow_Intertitle.png,,7.9,40,2014/03/15,Superhero,3,"DC's Legends of Tomorrow, or simply Legends of Tomorrow, is an American superhero action-adventure television series developed by Greg Berlanti, Marc Guggenheim, Andrew Kreisberg, and Phil Klemmer, who are also executive producers along with Sarah Schechter and Chris Fedak; Klemmer serves as showrunner. The series, based on the characters of DC Comics, airs on The CW and premiered on January 21, 2016. The show is a spin-off from Arrow and The Flash, existing in the same fictional universe. On March 11, 2016, The CW renewed the series for a second season, which debuted on October 13, 2016."
The Good Place,https://upload.wikimedia.org/wikipedia/en/b/b1/The_Good_Place_title_card.png,Michael Schur,8.2,42,2014/10/25,Fantasy,8,"The Good Place is an American fantasy sitcom television series created by Mike Schur, starring Kristen Bell and Ted Danson. NBC placed a 13-episode, straight-to-series order for the show in August 2015. The series debuted on Monday, September 19, 2016, before being moved to its Thursday night 8:30 pm (EDT) time slot on September 22, 2016. A preview trailer was released on May 15, 2016."
The Vampire Diaries,https://upload.wikimedia.org/wikipedia/en/4/48/The_Vampire_Diaries_%28title_card%29.png,,7.8,40,2016/04/29,Drama,8,"The Vampire Diaries is an American supernatural drama television series developed by Kevin Williamson and Julie Plec, based on the popular book series of the same name written by L. J. Smith. The series premiered on The CW on September 10, 2009.
The pilot episode attracted the largest audience for The CW of any series premiere since the network began in 2006. The first season averaged 3.60 million viewers. It was the most-watched series on the network before being supplanted by Arrow. The show has received numerous award nominations, winning four People's Choice Award and many Teen Choice Awards.
On April 26, 2013, The CW officially announced that the spin-off The Originals, which focuses on the Original family, had been ordered to series, and the show began airing during the 2013–14 American television season.
On April 6, 2015, lead actress Nina Dobrev confirmed via Instagram that she would be leaving the show after its sixth season, as well as her co-star Michael Trevino (who plays Tyler Lockwood), although he has appeared as a guest star in season seven."
True Detective,https://upload.wikimedia.org/wikipedia/en/5/5a/True_Detective_2014_Intertitle.jpg,Nic Pizzolatto,9.2,35,2011/12/09,Anthology,8,"True Detective is an American anthology crime drama television series created and written by Nic Pizzolatto. The series, broadcast by the premium cable network HBO in the United States, premiered on January 12, 2014. Each season of the series is structured as a disparate, self-contained narrative, employing new cast ensembles and following various sets of characters and settings.
The first season, starring Matthew McConaughey, Woody Harrelson, Michelle Monaghan, Michael Potts, and Tory Kittles, takes place in Louisiana and follows a pair of Louisiana State Police homicide detectives, and their pursuit of a serial killer over a 17-year period. The second season, starring Colin Farrell, Rachel McAdams, Taylor Kitsch, Kelly Reilly, and Vince Vaughn, is set in California, and focuses on three detectives from three cooperating police departments and a criminal-turned-businessman as they investigate a series of crimes they believed are linked to the murder of a corrupt politician.
The first season received generally excellent reviews from critics and earned high ratings for HBO. It was nominated for and won numerous awards and other accolades, chiefly for its acting, cinematography, writing, and direction."
Rectify,https://upload.wikimedia.org/wikipedia/commons/a/a5/Rectify_series_logo_svg.svg,Ray McKinnon,3.9,35,2013/06/26,Drama,10,"Rectify is an American television drama series created by Ray McKinnon and the first original series from SundanceTV. It stars Aden Young, Abigail Spencer, J. Smith-Cameron, Adelaide Clemens, Clayne Crawford, and Luke Kirby. The series premiered on April 22, 2013 with a season one run of six episodes. On May 1, 2013, SundanceTV ordered a second season of ten episodes, which premiered on June 19, 2014. A third season consisting of six episodes premiered on July 9, 2015. Prior to its third-season premiere, Rectify was renewed for a fourth season, later confirmed to be the final season, which premiered on October 26, 2016."
Breaking Bad,https://upload.wikimedia.org/wikipedia/en/6/61/Breaking_Bad_title_card.png,Vince Gilligan,7.9,33,2011/03/11,Crime drama,7,"Breaking Bad is an American crime drama television series created and produced by Vince Gilligan. The show originally aired on the AMC network for five seasons, from January 20, 2008, to September 29, 2013. It tells the story of Walter White (Bryan Cranston), a struggling high school chemistry teacher diagnosed with inoperable lung cancer. Together with his former student Jesse Pinkman (Aaron Paul), White turns to a life of crime, producing and selling crystallized methamphetamine to secure his family's financial future before he dies, while navigating the dangers of the criminal world. The title is from a Southern colloquialism meaning to ""raise hell"". Breaking Bad is set and was filmed in Albuquerque, New Mexico.
Walter's family consists of his wife Skyler (Anna Gunn) and children, Walter, Jr. (RJ Mitte) and Holly (Elanor Anne Wenrich)."
The IT Crowd,https://upload.wikimedia.org/wikipedia/commons/b/b3/The_IT_Crowd_title_card.jpg,Graham Linehan,2.8,42,2013/03/03,Sitcom,10,"The IT Crowd is a British sitcom by Channel 4, written by Graham Linehan, produced by Ash Atalla and starring Chris O'Dowd, Richard Ayoade, Katherine Parkinson, and Matt Berry.
Set in the London offices of the fictional Reynholm Industries, the show revolves around the three staff members of its IT department: a geeky genius named Maurice Moss (Ayoade), the work-shy Roy Trenneman (O'Dowd), and Jen Barber (Parkinson), the department head/relationship manager, who knows nothing about IT. The show also focuses on the bosses of Reynholm Industries: Denholm Reynholm (Chris Morris) and later, his son Douglas (Matt Berry).
The comedy premiered on Channel 4 on 3 February 2006, and ran for four series of six episodes each. Although a fifth series was commissioned, it was never produced. The programme was concluded with a special, one-off episode, that aired on 27 September 2013."
Call the Midwife,https://upload.wikimedia.org/wikipedia/en/b/bd/Call_the_Midwife_titlecard.JPG,Heidi Thomas,8.7,46,2013/05/31,Drama,8,"Call the Midwife is a BBC period drama series about a group of nurse midwives working in the East End of London in the late 1950s and early 1960s. It stars Jessica Raine, Miranda Hart, Helen George, Bryony Hannah, Laura Main, Jenny Agutter, Pam Ferris, Judy Parfitt, Cliff Parisi, Stephen McGann, Ben Caplan, Emerald Fennell, Victoria Yeates, Linda Bassett and Charlotte Ritchie. The series is produced by Neal Street Productions, a production company founded and owned by the film director and producer Sam Mendes, Call the Midwife executive producer Pippa Harris, and Caro Newling. The first series, set in 1957, premiered in the UK on 15 January 2012.
The series was created by Heidi Thomas, originally based on the memoirs of Jennifer Worth who worked with the Community of St. John the Divine, an Anglican religious order, at their convent in the East End in London. The order was founded as a nursing order in 1849. The memoirs have since been expanded to include new, historically sourced material."
Seinfeld,https://upload.wikimedia.org/wikipedia/commons/7/78/Seinfeld_logo.svg,Larry David,8.4,49,2010/08/09,Sitcom,6,"Seinfeld is an American sitcom that originally ran for nine seasons on NBC, from 1989 to 1998. It was created by Larry David and Jerry Seinfeld, the latter starring as a fictionalized version of himself. Set predominantly in an apartment building in Manhattan's Upper West Side in New York City (although taped entirely in Los Angeles), the show features a handful of Jerry's friends and acquaintances, particularly best friend George Costanza (Jason Alexander), former girlfriend Elaine Benes (Julia Louis-Dreyfus), and neighbor across the hall Cosmo Kramer (Michael Richards). It is often described as being ""a show about nothing"", as many of its episodes are about the minutiae of daily life.
Seinfeld was produced by Castle Rock Entertainment. In syndication the series has been distributed by Sony Pictures Television since 2002. It was largely written by David and Seinfeld with script writers who included Larry Charles, Peter Mehlman, Gregg Kavet, Carol Leifer, David Mandel, Jeff Schaffer, Steve Koren, Jennifer Crittenden, Tom Gammill, Max Pross, Dan O'Keefe, Charlie Rubin, Marjorie Gross, Alec Berg, Elaine Pope, and Spike Feresten.
A favorite among critics, the series led the Nielsen ratings in seasons six and nine, and finished among the top two (with NBC's ER) every year from 1994 to 1998."
The Daily Show,ttps://upload.wikimedia.org/wikipedia/en/3/3b/The_Daily_Show_with_Trevor_Noah.png,Madeleine Smithberg,9.4,43,2014/01/01,"Comedy, ",5,"The Daily Show (also known as The Daily Show with Jon Stewart from 1999 until 2015, and The Daily Show with Trevor Noah as of 2015) is an American news satire and talk show television program, which airs each Monday through Thursday on Comedy Central and on The Comedy Network in Canada.
The half-hour-long show premiered on July 21, 1996, and was hosted by Craig Kilborn until December 17, 1998. Jon Stewart then took over as the host from January 11, 1999 until August 6, 2015, making the show more strongly focused on politics and the national media, in contrast with the pop culture focus during Kilborn's tenure. Stewart was succeeded by Trevor Noah, whose tenure premiered on September 28, 2015. The Daily Show is the longest-running program on Comedy Central (counting all three tenures), and has won 23 Primetime Emmy Awards.
Describing itself as a fake news program, The Daily Show draws its comedy and satire from recent news stories, political figures, media organizations, and often uses self-referential humor as well. During Stewart's tenure, the show typically opened with a long monologue, relating to recent headlines and frequently featured exchanges with one or more Daily Show correspondents, who adopted absurd or humorously exaggerated takes on current events against Stewart's straight man persona. The final segment was devoted to a celebrity interview, with guests ranging from actors and musicians to nonfiction authors and political figures."
The Sopranos,https://upload.wikimedia.org/wikipedia/en/6/6e/Sopranos_titlescreen.png,David Chase,7.8,40,2012/07/22,Crime drama,5,"The Sopranos is an American crime drama television series created by David Chase. Revolving around the fictional character and family of New Jersey-based Italian American mobster Tony Soprano (James Gandolfini), the show portrays the difficulties he faces as he tries to balance the conflicting requirements of his home life and his criminal organization. These are often highlighted during his therapy sessions with psychiatrist Jennifer Melfi (Lorraine Bracco). The series features Tony's family members, mafia colleagues, and rivals in prominent roles and story arcs, most notably his wife Carmela (Edie Falco) and protégé Christopher Moltisanti (Michael Imperioli).
After the pilot was ordered in 1997, the show premiered on the premium cable network HBO in the United States on January 10, 1999, and ran its six seasons with 86 episodes to June 10, 2007. The series then went through syndication and has been broadcast on A&E in the United States and internationally. The Sopranos was produced by HBO, Chase Films, and Brad Grey Television. It was primarily filmed at Silvercup Studios, New York City, and on location in New Jersey."
